ID	FLOAT	FLOAT	X	BOOL	FLOAT	BOOL_HUN	X	X	FLOAT	BOOL	FLOAT	X	X	X	NOMINAL	FLOAT	X	FLOAT	FLOAT	X	BOOL	X	BOOL	FLOAT	BOOL	X	BOOL	X	X	X	X	BOOL	X	FLOAT	X	FLOAT	BOOL	FLOAT	FLOAT	X	X	FLOAT	NOMINAL	FLOAT	X	FLOAT	FLOAT	X	X	X	X	X	X	FLOAT	X	X	X	BOOL	BOOL	X	BOOL	BOOL	X	X	X	FLOAT	X	FLOAT	X	FLOAT	FLOAT	BOOL	X	X	FLOAT	X	X	X	NOMINAL	FLOAT	FLOAT	BOOL_TLD	X	FLOAT	FLOAT	BOOL	FLOAT	X	INT	FLOAT	X
xtm	0	8	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6	0	0	0	0	0	1	0	0	0	0	Magdalena Peñasco Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5.0	0	0	0	Mixtec, Magdalena Peñasco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7350	0	14	0	0	0	xtm
xtl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tijaltepec Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Mixtec, Tijaltepec	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3250	0	0	0	0	0	xtl
xtj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	San Juan Teita Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Mixtec, San Juan Teita	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	xtj
xti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Sinicahua Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Mixtec, Sinicahua	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	xti
xth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Yitha Yitha	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	9.0	0	0	0	Yitha Yitha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	xth
wji	0	1	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Warji	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Warji	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77700	0	1	0	5	0	wji
wja	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Waja	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Waja	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	wja
xxe-0ii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Shirawa	0	m	0	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
tmv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tembo (Motembo)	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Tembo (Motembo)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	tmv
xxx-en-JM	0	0	0	0	0	0	-	0	0	-	0	hi	ENG	-	m	0	en-JM	0	0	-	no	xxx-en-JM	0	0	0	"Indo-European, Germanic, West, English."	-	-	English (Jamaica)	-	ENG	-	-	0	0	2258827	0	0	0	0	0	0	0	0	-	7.7	0	-	xxx-en-JM	English (Jamaica)	Tue Jan 24 12:07:55 CST 2012	en-JM	Jamaica	0	-	"Indo-European, Germanic, West, English."	English (Jamaica)	0	-	0	no	1	0	0	0	0	English (Jamaica)	0	0	0	14936688	0	hi	0	0	English (Jamaica)	0	0	0	0	1171	0	English (Jamaica)	0	0	0	0	Jamaica	0	0	xxx-en-JM
xxe-dap-tag	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Tagin	0	m	0	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
xxx-bn-Latn	0	0	0	0	0	0	"BANGA-BHASA, BANGALA, BANGLA"	0	0	-	0	en	BNG	-	m	0	bn-Latn	0	0	-	no	xxx-bn-Latn	0	0	0	"Indo-European, Indo-Iranian, Indo-Aryan, Eastern zone, Bengali-Assamese."	-	-	Bengali (Latin)	-	BNG	-	-	0	0	3141214	0	0	0	0	0	0	0	0	"BANGA-BHASA, BANGALA, BANGLA"	7.7	0	pes-Latn	xxx-bn-Latn	-	Wed Sep 21 15:44:39 CDT 2011	bn-Latn	Bangladesh	0	pes-Latn	"Indo-European, Indo-Iranian, Indo-Aryan, Eastern zone, Bengali-Assamese."	Bengali (Latin)	0	-	0	no		0	0	0	0	-	0	0	0	18872421	0	en	0	0	-	0	0	0	0	670	0	Bengali (Latin)	0	0	0	0	Bangladesh	0	0	xxx-bn-Latn
xxe-kdq-ban	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Banai	0	m	0	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
xxx-noo-x-barkley	0	0	0	0	0	0	"NUTKA, NUUCHAHNULTH, NOOTKA"	0	0	-	0	en	NOO	-	m	0	noo-x-barkley	0	0	-	no	xxx-noo-x-barkley	0	0	0	"Wakashan, Southern."	-	-	Nuu-chah-nulth (Barkley)	-	NOO	-	-	0	0	2109	0	0	0	0	0	0	0	0	"NUTKA, NUUCHAHNULTH, NOOTKA"	7.7	0	kut noo-x-eha-nuc noo-x-nitinaht noo-x-she	xxx-noo-x-barkley	-	Sun Sep 25 23:20:13 CDT 2011	noo-x-barkley	Canada	0	kut noo-x-eha-nuc noo-x-nitinaht noo-x-she	"Wakashan, Southern."	Nuu-chah-nulth (Barkley)	0	-	0	no		0	0	0	0	-	0	0	0	21555	0	en	0	0	-	0	0	0	0	1	0	Nuu-chah-nulth (Barkley)	0	0	0	0	Canada	0	0	xxx-noo-x-barkley
xxe-wmt-dju	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Djuwarliny	0	m	0	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
txo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Toto	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Toto	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	7	0	txo
txn	0	2	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1	0	0	0	0	0	0	0	0	0	0	West Tarangan	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5.0	0	0	0	Tarangan, West	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7910	0	7	0	0	0	txn
txm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tomini	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.5	0	0	0	Tomini	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	5	0	txm
txi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Ikpeng	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5.0	0	0	0	Ikpeng	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	7	0	txi
txh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Thracian	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7.7	0	0	0	Thracian	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	txh
txg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tangut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	0	0	0	Tangut	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	txg
txe	0	276	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Totoli	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7.0	0	0	0	Totoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	277	0	5	0	txe
txc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tsetsaut	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7.7	0	0	0	Tsetsaut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	txc
txb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tokharian B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	0	0	0	Tokharian B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	txb
txa	0	3	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1	0	0	0	0	0	0	0	0	0	0	Tombonuo	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.5	4	0	0	Tombonuo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	7	0	0	0	txa
xxx-pi-Latn	0	0	0	0	0	0	-	0	0	0	0	en	PLL	Fri Dec 7 14:38:56 CST 2012	m	0	pi-Latn	0	0	-	no	xxx-pi-Latn	0	0	0	"Indo-European, Indo-Iranian, Indo-Aryan, Unclassified."	-	-	Pali (Latin)	0	0	0	0	0	0	0	0	244	0	0	0	444583	0	0	0	7.7	0	-	0	-	0	0	0	0	0	0	Pali (Latin)	0	-	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	4034266	0	0	0	0	0	0	0	India	0	0	xxx-pi-Latn
txy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tanosy Malagasy	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Malagasy, Tanosy	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510000	0	0	0	0	0	txy
txx	0	5	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	4	0	0	0	0	0	0	0	0	0	0	Tatana	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.5	1	0	0	Tatana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	txx
txu	0	6	0	0	0	0	KOKRAIMORO	0	0	0	0	en	TXU	Thu Jan 10 09:49:44 CST 2013	m	0	txu	3	0	-	no	txu	0	0	0	"Macro-Ge, Ge-Kaingang, Ge, Northwest, Kayapo."	-	-	Kayapó	0	0	0	0	0	0	0	0	1	0	0	0	397120	0	0	0	6.5	1	ram	0	Kayapó	0	0	0	0	0	0	Kayapó	0	-	0	0		0	0	0	0	0	0	0	5	0	0	0	0	0	-	0	0	0	2079789	0	0	0	0	7100	0	12	Brazil	6	0	txu
txt	0	1	0	0	0	0	0	0	0	0	1	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Citak	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5.0	1	0	0	Citak	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000	0	1	0	0	0	txt
txs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	1	0	0	0.0	0	0	0	0	0	0	0	0	0	Tonsea	0	0	0	0	0	0	0	1	0	709	0	0	0	0	0	0	6.5	0	0	0	Tonsea	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	0	0	0	0	0.0	txs
txr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tartessian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	0	0	0	Tartessian	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	txr
txq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tii	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Tii	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	5	0	txq
dne	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Ndendeule	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	0	0	0	Ndendeule	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	dne
dnd	0	1	0	0	0	0	0	0	0	0	1	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Daonda	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.5	1	0	0	Daonda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	1	0	7	0	dnd
dng	0	0	0	0	0	0	0	0	0	0	0	0	0	0	b	13	0	0	695.0	0	0	0	0	0	0	0	0	0	Dungan	0	0	0	0	695.0	0	0	1	0	4830	0	0	0	0	0	0	4.0	0	0	0	Dungan	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41900	0	0	0	5	0.0769230769231	dng
