ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Sources,Latitude,Longitude,Description of the location,Endangerment code,In Europe
1065,Kabard-Cherkes,kabarde-tcherkesse,kabardái,"Russian Federation, Turkey","RUS, TUR",kbd,Vulnerable,Kabardian,,650000.0,"Wolfgang Schulze: Kabardinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 861–867.",43.7393,43.4289,the Kabard-Balkar Republic and the Karachay-Cherkes Republic in the Russian Federation as well as diaspora communities in Turkey and the Middle East,1,True
353,Friulian,frioulan,friulano,Italy,ITA,fur,Definitely endangered,,,600000.0,,46.1037,13.1396,"the Autonomous Region Friuli-Venezia Giulia except Trieste Province and western and eastern border regions, and Portogruaro area in Venezia Province in Veneto Region; also spoken in émigré communities in Romania and elsewhere",2,True
1947,Walloon,wallon,valón,"Belgium, France, Luxembourg","BEL, FRA, LUX",wln,Definitely endangered,,,600000.0,,50.4575,4.8559,"the greater part of the province of Liège, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s",2,True
1070,Dargwa,dargwa,dargínico,Russian Federation,RUS,dar,Vulnerable,,,503523.0,,42.1145,47.4938,parts of the Republic of Daghestan,1,True
331,Aromanian,aroumain,arrumano,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered,Macedo-Romanian; Vlach; Tsintsar,,500000.0,"Petar Atanasov: Aromunisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 77-82.
http://www.ethnologue.org/show_language.asp?code=rup
",40.2292,21.1376,"Thessaly and Epirus in northern Greece; the central parts of Albania; several small pockets in the FYROM, Greece and Bulgaria; immigrant groups deriving from the eighteenth century in Serbia, especially between Niš and Kladovo; many Aromanian immigrants since the early twentieth century also in Romania",2,True
375,Languedocian,languedocien,languedociano,France,FRA,oci,Severely endangered,occitan languedocien; langadocian,lengadocian,500000.0,,43.8899,2.5378,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hérault, the eastern parts of Haute-Garonne and Ariège, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in Lozère, Pyrénées-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds",3,True
418,Udmurt,oudmourte,votiaco,Russian Federation,RUS,udm,Definitely endangered,,,463837.0,"Sandor Csucs: Udmurt. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 276–304.",57.2315,52.8662,"the Udmurt Republic and parts of Tatarstan, the Republic of Mariy-El, Bashkortostan, and Kirov (Vyatka) and Perm’ provinces",2,True
1074,Kumyk,koumyk,kumyko,Russian Federation,RUS,kum,Vulnerable,,,458121.0,"Л. С. Левитская: Кумыкский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 319–327.",43.397,46.9775,parts of the Republic of Daghestan,1,True
508,Yakut,yakoute,yakuto,Russian Federation,RUS,sah,Vulnerable,Sakha,,456288.0,"Н. К. Антонов: Якутский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997.",62.3496,130.8691,the Republic of Sakha (Yakutia),1,True
347,Eastern Mari,mari oriental,marí oriental,Russian Federation,RUS,mhr,Definitely endangered,Meadow Mari,,414211.0,"Eeva Kangasmaa-Minn: Mari. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 219–248. | Sirkka Saarinen: Tscheremissisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 719–733.",56.632,47.8784,"central and eastern parts of the Republic of Mariy-El and parts of Bashkortostan, Tatarstan, the Udmurt Republic, and Yekaterinburg, Perm’ and Orenburg provinces",2,True
1068,Ingush,ingouche,inguso,Russian Federation,RUS,inh,Vulnerable,,,405343.0,,43.145,45.1043,the Republic of Ingushetia and adjecent regions,1,True
350,Erzya,erzya,mordovo erzya,Russian Federation,RUS,myv,Definitely endangered,,,400000.0,"Gabor Zaicz: Mordva. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 184–218.",54.1302,45.4394,"the eastern parts but also small pockets in the northwest and south of the Republic of Mordovia; also several areas in Nizhniy Novgorod, Samara, Saratov and Orenburg provinces, Tatarstan and Bashkortostan",2,True
378,Limousin,limousin,lemosín,France,FRA,oci,Severely endangered,occitan limousin,lemosin,400000.0,,46.0579,1.8017,"the departments of Corréze and Haute-Vienne, most of Creuse, the northern parts of Dordogne, and the eastern parts of Charente; the original ISO code [lms] for Limousin has been retired on false grounds",3,True
381,Logudorese,logoudorien,sardo logudorés,Italy,ITA,src,Definitely endangered,Logudorese Sardinian; Logudorese-Nuorese,,400000.0,,40.1116,9.1845,central Sardinia,2,True
424,Moselle Franconian,francique mosellan,franconio del Mosela,"Germany, Belgium, France, Luxembourg","DEU, BEL, FRA, LUX",ltz,Vulnerable,Luxembourgish; Luxemburgian; luxembourgeois; люксембургский,Lëtzebuergesch,390000.0,,49.6071,6.1248,Luxembourg and adjacent regions of neighbouring countries,1,True
426,West Frisian,frison occidental,frisón occidental,Netherlands,NLD,fry,Vulnerable,,,350000.0,"Pieter Meijes Tiersma, 1985. Frisian Reference Grammar. Foris Publications, Dordrecht-Holland/Cinnaminson – USA. 
Streektaal.net http://taal.phileon.nl/index.php",53.1006,5.6579,the province of Friesland and the western parts of the province of Groningen,1,True
1075,Karachay-Balkar,karatchaï-balkar,karachay-balkar,Russian Federation,RUS,krc,Vulnerable,,,302748.0,"А. А. Чеченов & И. Х. Ахматов Карачаево-балкарский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 272–286.",44.2137,42.8466,parts of the Karachay-Cherkes Republic and the Kabard-Balkar Republic,1,True
469,Buryat (Trans-Baikal),bouriate (Transbaïkalie),buriato (transbaikálico),Russian Federation,RUS,"bxm, bxr, bxu",Definitely endangered,,,300000.0,"Elena Skribnik: Buryat. — The Mongolic languages. Edited by Juha Janhunen. London and New York: Routledge, 2003. 102–128.",50.8336,109.5117,the Republic of Buryatia and Aga (Aginskiy) Buryat Autonomous District and elsewhere in Chita Province,2,True
401,Plautdietsch,plautdietsch,bajo alemán,Ukraine,UKR,pdt,Definitely endangered,,,300000.0,,47.0738,35.5545,originally Khortytsya and Molochna near Zaporizhzhya; émigré communities in other parts of the Ukraine and in what is now withing the Russian Federation and further in the Americas; last speakers in the Ukraine were deported during the Second World War to Central Asia and Siberia; many speakers have recently emigrated to Germany; an outlying dialect of Low Saxon,2,True
336,Breton,breton,bretón,France,FRA,bre,Severely endangered,brezhoneg,,250000.0,"Fañch Broudic : Parler breton au XXIe siècle
Emgleo Breiz publishing company (2009)
ISBN 978-2-911210-91-3.",48.2246,-3.9331,western Brittany; many émigré communities,3,True
352,Gascon,gascon,gascón,"Spain, France","ESP, FRA",oci,Definitely endangered,occitan gascon; local name in Catalonia: Aranese; dialect: béarnais,gascon,250000.0,,43.1811,-0.1428,"the departments of Landes, Gers, and Hautes-Pyrénées, the eastern parts of Pyrénées-Atlantiques, the western parts of Haute-Garonne and Ariège, and the southern and western parts of Gironde, France; the Aran Valley, northwestern Catalonia, Spain; the original ISO code [gsc] for Gascon has been retired on false grounds",2,True
373,Komi,komi,komi,Russian Federation,RUS,kpv,Definitely endangered,“Komi-Zyryan” (calque from Russian); коми-зырянский,,217316.0,"Anu-Reet Hausenberg: Komi. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 305–326. | Paula Kokkonen: Syrjänisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 709–718.",62.3087,51.5917,"the Komi Republic and parts of Nenets Autonomous District, Arkhangel’sk Province, Yamal Nenets Autonomous District, Murmansk Province and other regions",2,True
365,Alpine Provençal,provençal alpin,provenzal alpino,"France, Italy","FRA, ITA",oci,Definitely endangered,occitan alpin (fr); vivaro-alpin (fr); gavot (fr),provençau aupenc,200000.0,,44.7467,6.6796,"the upper valleys of Piedmont (Val Mairo, Val Varacho, Val d’Esturo, Entraigas, Limoun, Vinai, Pignerol, Sestriero), Italy; the departments of Ardèche (except the north and the western border areas), Drôme (except the north), Hautes-Alpes, the northern parts of Alpes de Haute-Provence, and the southernmost parts of Isère, France; severely endangered in France; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds",2,True
355,Gallo,gallo,gallo,France,FRA,fra,Severely endangered,angevin (dialect),galo,200000.0,"« Pratiques et représentations de la langue et de la culture régionales en Haute Bretagne », Rapport de recherche, Par André Le Coq & Philippe Blanchet, Centre de Recherche sur la Diversité Linguistique de la Francophonie - 2006
http://www.uhb.fr/alc/erellif/credilif/Textes/RapportGallo1.pdf

Association Chubri (Bèrtran Ôbrée) - http://www.chubri.org",47.931,-2.0544,"Ille-et-Vilaine, Loire-Atlantique, dans les deux tiers est des Côtes d'Armor et dans le tiers Est du Morbihan.",3,True
328,Moksha,mokcha,mordovo moksha,Russian Federation,RUS,mdf,Definitely endangered,,,200000.0,"Gabor Zaicz: Mordva. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 184–218.",54.1817,43.2751,the western parts of the Republic of Mordovia and the adjacent parts of Ryazan’ and Penza provinces; also pockets in Tatarstan and Orenburg Province,2,True
340,Corsican,corse,corso,"France, Italy","FRA, ITA",cos,Definitely endangered,,,160000.0,"Jean Sibille: Les langues régionales. Dominos 220; [Paris]: Flammarion, 2000.",42.0819,9.0307,Corsica (Corse); also spoken on Maddalena Island off the northeast coast of Sardinia and in many émigré communities,2,True
368,Kalmyk,kalmouk,kalmiko,Russian Federation,RUS,xal,Definitely endangered,Kalmuck,,153602.0,"Г. Ц. Пюрбеев: Калмыцкий язык. Языки мира: Монгольские языки; Тунгусо-маньчжурские языки; Японский язык; Корейский язык. Москва: Индрик, 1997.",46.2026,45.8239,"the Kalmyk Republic and the adjacent part of Astrakhan, Rostov, and Volgograd provinces and Stavropol’ Region",2,True
1071,Lak,lak,laco,Russian Federation,RUS,lbe,Vulnerable,,,153373.0,,42.0125,47.2521,parts of the Republic of Daghestan,1,True
332,Asturian-Leonese,asturien-léonais,astur-leonés,"Spain, Portugal","ESP, PRT","ast, ext, mwl",Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,,42.7954,-5.6689,"Asturias and northwestern Castile and León, Cantabria and Extremadura, Spain; and the municipalities of Miranda do Douro and Vimioso in north-eastern Portugal",2,True
376,Latgalian,latgalien,letón,"Latvia, Russian Federation","LVA, RUS",lav,Vulnerable,,,150000.0,,56.1822,27.1362,eastern Latvia and cross-border areas in the Russian Federation; a regional language not recognized by the SIL,1,True
404,Provençal,provençal,provenzal,France,FRA,oci,Severely endangered,occitan provençal,provençau,150000.0,,43.5485,6.1083,"the departments of Alpes-Maritimes (except the eastern corner), Bouches-du-Rhône, Var, and Vaucluse, the southern parts of Alpes de Haute-Provence, and the eastern parts of Gard; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds",3,True
1073,Tabasaran,tabassaran,tabasarano,Russian Federation,RUS,tab,Vulnerable,,,128391.0,,41.8081,47.9882,parts of the Republic of Daghestan,1,True
408,Sassarese,sassarien,sasarés,Italy,ITA,sdc,Definitely endangered,Sassarese Sardinian,,120000.0,,40.6139,8.6132,northwestern Sardinia; an outlying dialect of Corsican,2,True
342,Crimean Tatar (Crimea),tatar de Crimée (Crimée),tártaro crimeano (Crimea),Ukraine,UKR,"crh, jct",Severely endangered,крымскотатарский (ru),,100000.0,"С. Р. Изидинова: Крымскотатарский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997.",45.3212,34.3212,"originally spoken in the central parts of the Crimea, but most speakers were deported to Central Asia after the Second World War; many have now returned; includes Krimchak (Judeo-Crimean Tatar)",3,True
366,Francoprovençal,francoprovençal,francoprovenzal,"France, Italy, Switzerland","FRA, ITA, CHE",frp,Definitely endangered,Arpitan; Harpitan,,100000.0,,45.7828,6.9982,"Savoy (Savoie and Haute-Savoie), Ain (mainly in the region of Bresse), Rhône, Loire, the northern and central parts of Isère, and the southern parts of the departments of Jura and Doubs, France; formely also the northernmost parts of Ardèche and Drôme; the Aosta Valley and the Alpine valleys to the north and east of Val di Susa in Piedmont, Italy; mountain villages of Valais and Fribourg, perhaps also Vaud, Switzerland; formerly all of Suisse romande except the Canton of Jura; now most actively used in the village of Evolène in Valais; severely endangered in France and Switzerland, perhaps also in Italy",2,True
356,Gallurese,gallurien,sardo galurés,Italy,ITA,sdn,Definitely endangered,Gallurese Sardinian,,100000.0,,40.8802,9.4482,northeastern Sardinia; an outlying dialect of Corsican,2,True
397,Permyak,permiak,permiaco,Russian Federation,RUS,koi,Definitely endangered,“Komi-Permyak” (calque from Russian); коми-пермяцкий,,94328.0,"Anu-Reet Hausenberg: Komi. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 305–326. | Paula Kokkonen: Syrjänisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 709–718.",59.204,54.5361,the former Permyak Komi Autonomous District and the adjacent parts of Kirov (Vyatka) and Perm’ provinces,2,True
669,Nogay (Caucasus),nogaï (Caucase),nogái (Cáucaso),Russian Federation,RUS,nog,Definitely endangered,,,90020.0,"Н. А. Баскаков: Ногайский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 328–335.",43.8028,46.2744,"parts of the Karachay-Cherkes Republic, Nogay, Tarumovka, Kizlyar and Babayurt counties in the Republic of Daghestan, Shelkovskaya County in the Republic of Chechenia, and Neftekumsk, Mineral’nyye Vody and Kochubeyevskoye counties in Stavropol’ Region",2,True
1347,Arbëresh,arbërerisht,arberés,Italy,ITA,aae,Definitely endangered,Arbëreshë Albanian,arbrisht,80000.0,"Walter Breu: Italoalbanisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 73–75.",40.9321,14.8645,"(i) Adriatic zone: Montecilfone, Campomarino, Portocannone and Ururi in Molise as well as Chieuti und Casalvecchio di Puglia in Apulia; (ii) San Marzano in Apulia; (iii) Greci in Campania; (iv) northern Basilicata: Barile, Ginestra und Maschito; (v) North Calabrian zone: ca. 30 settlements in northern Calabria (Plataci, Civita, Frascineto, San Demetrio Corone, Lungro, Acquaformosa etc.) as well as San Costantino Albanese and San Paolo Lucano in southern Basilicata; (vi) settlements in southern Calabria, e.g. San Nicola dell’Alto and Vena di Maida; (vii) Sicilian zone: Piana degli Albanesi and two nearby villages near Palermo; (viii) formely also Villabadessa in Abruzzi; an outlying dialect of Albanian",2,True
1330,Gallo-Sicilian,gallo-sicilien,galo-siciliano,Italy,ITA,lmo,Definitely endangered,,,65000.0,,38.0167,14.5994,"Nicosia, Sperlinga, Piazza Armerina, Valguarnera Caropepe and Aidone in the province of Enna, and San Fratello, Acquedolci, San Piero Patti, Montalbano Elicona, Novara di Sicilia and Fondachelli-Fantina in the province of Messina; an outlying dialect of Lombard not listed separately by the SIL; other dialects were formerly also spoken in southern Italy outside Siciy, especially in Lucania (Basilicata)",2,True
1027,Faroese,féroïen,faroés,Faroe Islands,FRO,fao,Vulnerable,,,60000.0,,62.0112,-6.7785,the Faroe Islands,1,True
370,Kashubian,kachoube,casubio,Poland,POL,csb,Severely endangered,,,53000.0,"Władysław Lubaś: Kaschubisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 265–273.",54.2267,18.1713,"an area northwest, west and southwest of Gdansk, mainly in Wejherowo, Lebork, Bytów (Betowo), Pock (Puck), Kartuzy, Koscierzyna, and Chojnice districts",3,True
481,Khakas,khakasse,jacaso,Russian Federation,RUS,kjh,Definitely endangered,"dialects: Kacha, Sagay, Kyzyl, Koibal, Beltir, Shor",,52217.0,"Г. И. Донидзе: Хакасский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 459–470.",53.7746,90.3735,the Republic of Khakasia; also Uzhur and Sharypovo counties in Krasnoyarsk Region and adjacent parts of the Republic of Tuva,2,True
1352,Arvanitika,arvanitika,arvanitika,Greece,GRC,aat,Severely endangered,Arvanite Albanian,arbërisht,50000.0,"Bardhyl Demiraj: Arvanitisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 71–72. Hans-Jürgen Sasse: Arvanitika: Die arvanitischen Sprachreste in Griechenland. Bd. 1. Wiesbaden: Harrassowitz, 1991.",38.1863,23.6096,"rural areas in Attica, Boeotia (Voiotía), southern Euboea (Évvoia), northern Andros (Ándros), Corinthia, Argolis and a few smaller sections of Peloponnese and central Greece; an outlying dialect of (Tosk) Albanian",3,True
